themeCode,themeName,stockCode,stockName,info
108,"백신/진단시약/방역(신종플루, AI 등)",A253840,수젠텍,"체외진단용 의료기기 및 진단시약류 제조, 판매업체로 알레르기, 자가면역질환, 치매, 심혈관질환, 염증성질환, 인플루엔자, 결핵, 치주질환, 여성질환, 임신/배란 등 다양한 질병 및 예후에 대한 진단제품을 개발 및 판매."
108,"백신/진단시약/방역(신종플루, AI 등)",A206640,바디텍메드,"면역진단 카트리지 및 진단기기 등 체외진단제품의 연구개발, 생산과 판매를 주요사업으로 영위. 초고감도 호흡기질환 진단기기, ichroma™ 제품군 등 생산."
108,"백신/진단시약/방역(신종플루, AI 등)",A084650,랩지노믹스,"체외진단 서비스 및 체외진단 제품 개발 및 생산 전문업체. 진단키트 품목허가 보유중이며, NGS 기반의 진단키트를 출시할 계획."
110,화장품,A090430,아모레퍼시픽,"아모레퍼시픽그룹 계열의 화장품 제조 및 판매업체. 해외시장의 경우 채널 확장 및 필리핀, 호주, 두바이 등 신규 국가에 진입하는 등 진출 지역을 다변화하고 5대 글로벌 챔피언 브랜드(설화수, 라네즈, 마몽드, 이니스프리, 에뛰드하우스)를 중심으로 글로벌 성장 확대를 지속중."
110,화장품,A051900,LG생활건강,"LG그룹 계열의 화장품 사업 영위업체. 오휘, 후, 이자녹스, 숨, 수려한 등의 화장품 브랜드와 더페이스샵 지분 보유."
110,화장품,A021240,코웨이,국내화장품사업에 진출하여 고기능성 화장품 등을 판매.
110,화장품,A027050,코리아나,"라비다, 자인, 녹두, 세니떼, 비취가인, 엔시아, 텐세컨즈 등의 브랜드를 보유한 화장품 제조 및 판매업체. 기초화장품 및 색조화장품 등을 생산, 판매하고 있으며 피부관리샵(세레니끄)도 운영중."
110,화장품,A123690,한국화장품,"한국화장품제조((구)한국화장품)에서 화장품 판매 및 부동산 임대사업 부문이 분할되어 신설된 회사. 주요 상표로 산심, 잼미라클 등이 있으며, 주요 유통경로는 전문점 판매, 방문 판매, 백화점, 홈쇼핑사업부(인터넷, 홈쇼핑, 총판 등) 등임. 브랜드샵 관련 화장품 판매사업을 영위하는 (주)더샘인터내셔날을 연결대상 종속회사로 보유."
110,화장품,A024720,한국콜마홀딩스,"화장품 제조(ODM, OEM)업체인 한국콜마를 자회사로 보유."
110,화장품,A078520,에이블씨엔씨,"화장품과 생활용품 제조 판매업, 화장품 유통 판매업 등을 영위하는 업체. 화장품 브랜드 미샤(MISSA)를 보유하고 있으며, 미샤 직영/가맹 사업도 영위."
110,화장품,A002210,동성제약,"에이씨케어, 아토24 등 메디컬 화장품 및 기능성 화장품 사업 영위."
